Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.31181721714573
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.426007367032238
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.93395019121501
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.276230801135428
Andorra,AND,Population growth (annual %),SP.POP.GROW,0.176453843432831
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.2429826028718
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.860380480678118
Arab World,ARB,Population growth (annual %),SP.POP.GROW,1.9246927332871
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.993397493293046
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.201539722879792
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.442121959444383
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.51598445404769
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.412539808816785
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.837019639355119
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,0.991335935305563
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.46923900893373
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.0420011284052
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.133875829263984
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.175648469687962
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.497584971619203
Belize,BLZ,Population growth (annual %),SP.POP.GROW,1.88311073570597
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.71510535908362
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,-0.00312891113892766
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,1.14638227394932
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.39909836758217
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-0.692206408656095
Botswana,BWA,Population growth (annual %),SP.POP.GROW,2.1752909092404
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.75154842651724
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,0.762137664197041
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,1.00273731829347
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.703905641117455
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.84422255256232
Burundi,BDI,Population growth (annual %),SP.POP.GROW,3.12896711408085
Cabo Verde,CPV,Population growth (annual %),SP.POP.GROW,1.12792431423236
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.44639338013252
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.58424710709784
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.42405130729193
Caribbean small states,CSS,Population growth (annual %),SP.POP.GROW,0.576385402023249
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,1.19888054809676
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,1.67474521186478
Central Europe and the Baltics,CEB,Population growth (annual %),SP.POP.GROW,-0.154526619486703
Chad,TCD,Population growth (annual %),SP.POP.GROW,2.98593746093303
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,1.02697265622261
Chile,CHL,Population growth (annual %),SP.POP.GROW,1.18298043072933
China,CHN,Population growth (annual %),SP.POP.GROW,0.357291063115687
Colombia,COL,Population growth (annual %),SP.POP.GROW,1.38170201436676
Comoros,COM,Population growth (annual %),SP.POP.GROW,2.20587743735692
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.18708630238904
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,2.5629008034182
Costa Rica,CRI,Population growth (annual %),SP.POP.GROW,0.957905013850413
Cote d'Ivoire,CIV,Population growth (annual %),SP.POP.GROW,2.54933623927928
Croatia,HRV,Population growth (annual %),SP.POP.GROW,-0.49888869647906
Cuba,CUB,Population growth (annual %),SP.POP.GROW,-0.041064554364363
Curacao,CUW,Population growth (annual %),SP.POP.GROW,-1.42563343261042
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,0.779788191505342
Czech Republic,CZE,Population growth (annual %),SP.POP.GROW,0.37353731667249
Denmark,DNK,Population growth (annual %),SP.POP.GROW,0.429153163832595
Djibouti,DJI,Population growth (annual %),SP.POP.GROW,1.51518050206022
Dominica,DMA,Population growth (annual %),SP.POP.GROW,0.255171542527292
Dominican Republic,DOM,Population growth (annual %),SP.POP.GROW,1.04646051306009
Early-demographic dividend,EAR,Population growth (annual %),SP.POP.GROW,1.29458356359449
East Asia & Pacific,EAS,Population growth (annual %),SP.POP.GROW,0.536489917948018
East Asia & Pacific (excluding high income),EAP,Population growth (annual %),SP.POP.GROW,0.578195471892599
East Asia & Pacific (IDA & IBRD countries),TEA,Population growth (annual %),SP.POP.GROW,0.579735336153078
Ecuador,ECU,Population growth (annual %),SP.POP.GROW,1.6792131785026
"Egypt, Arab Rep.",EGY,Population growth (annual %),SP.POP.GROW,1.97628434808829
El Salvador,SLV,Population growth (annual %),SP.POP.GROW,0.509683301933842
Equatorial Guinea,GNQ,Population growth (annual %),SP.POP.GROW,3.528524074108
Eritrea,ERI,Population growth (annual %),SP.POP.GROW,..
Estonia,EST,Population growth (annual %),SP.POP.GROW,0.348339661751493
Eswatini,SWZ,Population growth (annual %),SP.POP.GROW,1.04530919354082
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,2.57956334803926
Euro area,EMU,Population growth (annual %),SP.POP.GROW,0.220727543247932
Europe & Central Asia,ECS,Population growth (annual %),SP.POP.GROW,0.350516855686351
Europe & Central Asia (excluding high income),ECA,Population growth (annual %),SP.POP.GROW,0.495547945499752
Europe & Central Asia (IDA & IBRD countries),TEC,Population growth (annual %),SP.POP.GROW,0.398557755302491
European Union,EUU,Population growth (annual %),SP.POP.GROW,0.164369896792053
Faroe Islands,FRO,Population growth (annual %),SP.POP.GROW,0.372524228078936
Fiji,FJI,Population growth (annual %),SP.POP.GROW,0.729660242086809
Finland,FIN,Population growth (annual %),SP.POP.GROW,0.0867899631484352
Fragile and conflict affected situations,FCS,Population growth (annual %),SP.POP.GROW,2.26414858148378
France,FRA,Population growth (annual %),SP.POP.GROW,0.140234217742883
French Polynesia,PYF,Population growth (annual %),SP.POP.GROW,0.577415665471892
Gabon,GAB,Population growth (annual %),SP.POP.GROW,2.48408920696695
"Gambia, The",GMB,Population growth (annual %),SP.POP.GROW,2.92185023710734
Georgia,GEO,Population growth (annual %),SP.POP.GROW,-0.165625313562404
Germany,DEU,Population growth (annual %),SP.POP.GROW,0.273451073953555
Ghana,GHA,Population growth (annual %),SP.POP.GROW,2.16257788677108
Gibraltar,GIB,Population growth (annual %),SP.POP.GROW,-0.0504308885041264
Greece,GRC,Population growth (annual %),SP.POP.GROW,-0.154411355221523
Greenland,GRL,Population growth (annual %),SP.POP.GROW,0.359917714454119
Grenada,GRD,Population growth (annual %),SP.POP.GROW,0.491370692894964
Guam,GUM,Population growth (annual %),SP.POP.GROW,0.916352317700628
Guatemala,GTM,Population growth (annual %),SP.POP.GROW,1.56038604781094
Guinea,GIN,Population growth (annual %),SP.POP.GROW,2.83457538168629
Guinea-Bissau,GNB,Population growth (annual %),SP.POP.GROW,2.45652209459577
Guyana,GUY,Population growth (annual %),SP.POP.GROW,0.481762010560315
Haiti,HTI,Population growth (annual %),SP.POP.GROW,1.24989940326034
Heavily indebted poor countries (HIPC),HPC,Population growth (annual %),SP.POP.GROW,2.75220226573806
High income,HIC,Population growth (annual %),SP.POP.GROW,0.433729853557736
Honduras,HND,Population growth (annual %),SP.POP.GROW,1.64064879291134
"Hong Kong SAR, China",HKG,Population growth (annual %),SP.POP.GROW,0.754094920172569
Hungary,HUN,Population growth (annual %),SP.POP.GROW,-0.0574556437016089
Iceland,ISL,Population growth (annual %),SP.POP.GROW,2.40672425296975
India,IND,Population growth (annual %),SP.POP.GROW,1.01510602753472
Indonesia,IDN,Population growth (annual %),SP.POP.GROW,1.10058458685211
"Iran, Islamic Rep.",IRN,Population growth (annual %),SP.POP.GROW,1.35222602321056
Iraq,IRQ,Population growth (annual %),SP.POP.GROW,2.25413421903288
Ireland,IRL,Population growth (annual %),SP.POP.GROW,1.51149403751316
Isle of Man,IMN,Population growth (annual %),SP.POP.GROW,0.601207780255882
Israel,ISR,Population growth (annual %),SP.POP.GROW,1.90125095125148
Italy,ITA,Population growth (annual %),SP.POP.GROW,-0.206038624053582
Jamaica,JAM,Population growth (annual %),SP.POP.GROW,0.456356197137556
Japan,JPN,Population growth (annual %),SP.POP.GROW,-0.208999472902293
Jordan,JOR,Population growth (annual %),SP.POP.GROW,1.4526643189474
Kazakhstan,KAZ,Population growth (annual %),SP.POP.GROW,1.29074221770545
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2.27190164034829
Kiribati,KIR,Population growth (annual %),SP.POP.GROW,1.50696995827
"Korea, Dem. Peopleâ€™s Rep.",PRK,Population growth (annual %),SP.POP.GROW,0.454319921690691
"Korea, Rep.",KOR,Population growth (annual %),SP.POP.GROW,0.198353208370259
Kosovo,XKX,Population growth (annual %),SP.POP.GROW,-0.157991508452547
Kuwait,KWT,Population growth (annual %),SP.POP.GROW,1.67232318324502
Kyrgyz Republic,KGZ,Population growth (annual %),SP.POP.GROW,2.09871784350026
Lao PDR,LAO,Population growth (annual %),SP.POP.GROW,1.5171155747641
Late-demographic dividend,LTE,Population growth (annual %),SP.POP.GROW,0.464939742419872
Latin America & Caribbean,LCN,Population growth (annual %),SP.POP.GROW,0.933091750844994
Latin America & Caribbean (excluding high income),LAC,Population growth (annual %),SP.POP.GROW,0.930756336950139
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population growth (annual %),SP.POP.GROW,0.956653103896699
Latvia,LVA,Population growth (annual %),SP.POP.GROW,-0.749229473885315
Least developed countries: UN classification,LDC,Population growth (annual %),SP.POP.GROW,2.34992348107012
Lebanon,LBN,Population growth (annual %),SP.POP.GROW,0.0990613623664896
Lesotho,LSO,Population growth (annual %),SP.POP.GROW,0.80956647567982
Liberia,LBR,Population growth (annual %),SP.POP.GROW,2.42719460419122
Libya,LBY,Population growth (annual %),SP.POP.GROW,1.46977765305762
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,0.287110523979341
Lithuania,LTU,Population growth (annual %),SP.POP.GROW,-0.526056405820061
Low & middle income,LMY,Population growth (annual %),SP.POP.GROW,1.19885159517482
Low income,LIC,Population growth (annual %),SP.POP.GROW,2.62961040524759
Lower middle income,LMC,Population growth (annual %),SP.POP.GROW,1.42618221261569
Luxembourg,LUX,Population growth (annual %),SP.POP.GROW,1.9459080290974
"Macao SAR, China",MAC,Population growth (annual %),SP.POP.GROW,1.38499683787543
Madagascar,MDG,Population growth (annual %),SP.POP.GROW,2.65624016241262
Malawi,MWI,Population growth (annual %),SP.POP.GROW,2.64037519341292
Malaysia,MYS,Population growth (annual %),SP.POP.GROW,1.32706064876164
Maldives,MDV,Population growth (annual %),SP.POP.GROW,2.91560605041598
Mali,MLI,Population growth (annual %),SP.POP.GROW,2.99663676010293
Malta,MLT,Population growth (annual %),SP.POP.GROW,3.65143580077893
Marshall Islands,MHL,Population growth (annual %),SP.POP.GROW,0.645031416343302
Mauritania,MRT,Population growth (annual %),SP.POP.GROW,2.7412802727648
Mauritius,MUS,Population growth (annual %),SP.POP.GROW,0.0322400432027594
Mexico,MEX,Population growth (annual %),SP.POP.GROW,1.09136213246927
"Micronesia, Fed. Sts.",FSM,Population growth (annual %),SP.POP.GROW,1.03774307896197
Middle East & North Africa,MEA,Population growth (annual %),SP.POP.GROW,1.73629247978811
Middle East & North Africa (excluding high income),MNA,Population growth (annual %),SP.POP.GROW,1.71335264654857
Middle East & North Africa (IDA & IBRD countries),TMN,Population growth (annual %),SP.POP.GROW,1.70332577455856
Middle income,MIC,Population growth (annual %),SP.POP.GROW,1.03565053397206
Moldova,MDA,Population growth (annual %),SP.POP.GROW,-1.80522553770811
Monaco,MCO,Population growth (annual %),SP.POP.GROW,0.726376735217096
Mongolia,MNG,Population growth (annual %),SP.POP.GROW,1.71875309742159
Montenegro,MNE,Population growth (annual %),SP.POP.GROW,-0.0144652208127193
Morocco,MAR,Population growth (annual %),SP.POP.GROW,1.22105092988365
Mozambique,MOZ,Population growth (annual %),SP.POP.GROW,2.90713743750143
Myanmar,MMR,Population growth (annual %),SP.POP.GROW,0.625548337219885
Namibia,NAM,Population growth (annual %),SP.POP.GROW,1.87248088130699
Nauru,NRU,Population growth (annual %),SP.POP.GROW,-0.972916513578618
Nepal,NPL,Population growth (annual %),SP.POP.GROW,1.83733707688441
Netherlands,NLD,Population growth (annual %),SP.POP.GROW,0.585724460318329
New Caledonia,NCL,Population growth (annual %),SP.POP.GROW,1.30803110002856
New Zealand,NZL,Population growth (annual %),SP.POP.GROW,1.55772774722449
Nicaragua,NIC,Population growth (annual %),SP.POP.GROW,1.22957367676273
Niger,NER,Population growth (annual %),SP.POP.GROW,3.79366815330185
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,2.5648418857943
North America,NAC,Population growth (annual %),SP.POP.GROW,0.572694995117587
North Macedonia,MKD,Population growth (annual %),SP.POP.GROW,0.0240494411584019
Northern Mariana Islands,MNP,Population growth (annual %),SP.POP.GROW,0.585463293020077
Norway,NOR,Population growth (annual %),SP.POP.GROW,0.675061373245644
Not classified,INX,Population growth (annual %),SP.POP.GROW,..
OECD members,OED,Population growth (annual %),SP.POP.GROW,0.541905324839774
Oman,OMN,Population growth (annual %),SP.POP.GROW,2.96831339383564
Other small states,OSS,Population growth (annual %),SP.POP.GROW,1.9512089822791
Pacific island small states,PSS,Population growth (annual %),SP.POP.GROW,1.47837095557971
Pakistan,PAK,Population growth (annual %),SP.POP.GROW,2.02921486315548
Palau,PLW,Population growth (annual %),SP.POP.GROW,0.562440574980858
Panama,PAN,Population growth (annual %),SP.POP.GROW,1.65178689075561
Papua New Guinea,PNG,Population growth (annual %),SP.POP.GROW,1.95367908220702
Paraguay,PRY,Population growth (annual %),SP.POP.GROW,1.26516727108041
Peru,PER,Population growth (annual %),SP.POP.GROW,1.61615719697585
Philippines,PHL,Population growth (annual %),SP.POP.GROW,1.36399467911631
Poland,POL,Population growth (annual %),SP.POP.GROW,-0.0102073030655774
Portugal,PRT,Population growth (annual %),SP.POP.GROW,-0.140172576776066
Post-demographic dividend,PST,Population growth (annual %),SP.POP.GROW,0.313038865175869
Pre-demographic dividend,PRE,Population growth (annual %),SP.POP.GROW,2.76430231447951
Puerto Rico,PRI,Population growth (annual %),SP.POP.GROW,0.0106465459574109
Qatar,QAT,Population growth (annual %),SP.POP.GROW,1.79528505056432
Romania,ROU,Population growth (annual %),SP.POP.GROW,-0.597497124413531
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,-0.0722343781903799
Rwanda,RWA,Population growth (annual %),SP.POP.GROW,2.60765264493972
Samoa,WSM,Population growth (annual %),SP.POP.GROW,0.491828866926665
San Marino,SMR,Population growth (annual %),SP.POP.GROW,0.221745970085152
Sao Tome and Principe,STP,Population growth (annual %),SP.POP.GROW,1.89076332349799
Saudi Arabia,SAU,Population growth (annual %),SP.POP.GROW,1.67311172870933
Senegal,SEN,Population growth (annual %),SP.POP.GROW,2.74974740844133
Serbia,SRB,Population growth (annual %),SP.POP.GROW,-0.540353661727366
Seychelles,SYC,Population growth (annual %),SP.POP.GROW,0.887925293341637
Sierra Leone,SLE,Population growth (annual %),SP.POP.GROW,2.10907525200416
Singapore,SGP,Population growth (annual %),SP.POP.GROW,1.14428330688929
Sint Maarten (Dutch part),SXM,Population growth (annual %),SP.POP.GROW,0.194134259307588
Slovak Republic,SVK,Population growth (annual %),SP.POP.GROW,0.13397129785832
Slovenia,SVN,Population growth (annual %),SP.POP.GROW,0.67528080839474
Small states,SST,Population growth (annual %),SP.POP.GROW,1.67323519896705
Solomon Islands,SLB,Population growth (annual %),SP.POP.GROW,2.56538506367278
Somalia,SOM,Population growth (annual %),SP.POP.GROW,2.85560211622181
South Africa,ZAF,Population growth (annual %),SP.POP.GROW,1.33861739063304
South Asia,SAS,Population growth (annual %),SP.POP.GROW,1.17879908981622
South Asia (IDA & IBRD),TSA,Population growth (annual %),SP.POP.GROW,1.17879908981622
South Sudan,SSD,Population growth (annual %),SP.POP.GROW,0.782224434404954
Spain,ESP,Population growth (annual %),SP.POP.GROW,0.594469675339612
Sri Lanka,LKA,Population growth (annual %),SP.POP.GROW,0.611875945764341
St. Kitts and Nevis,KNA,Population growth (annual %),SP.POP.GROW,0.725797379770302
St. Lucia,LCA,Population growth (annual %),SP.POP.GROW,0.494134202023454
St. Martin (French part),MAF,Population growth (annual %),SP.POP.GROW,1.9611076778355
St. Vincent and the Grenadines,VCT,Population growth (annual %),SP.POP.GROW,0.343298993403754
Sub-Saharan Africa,SSF,Population growth (annual %),SP.POP.GROW,2.65707175729588
Sub-Saharan Africa (excluding high income),SSA,Population growth (annual %),SP.POP.GROW,2.66031426848285
Sub-Saharan Africa (IDA & IBRD countries),TSS,Population growth (annual %),SP.POP.GROW,2.65707175729588
Sudan,SDN,Population growth (annual %),SP.POP.GROW,2.39143403307158
Suriname,SUR,Population growth (annual %),SP.POP.GROW,0.929879177652127
Sweden,SWE,Population growth (annual %),SP.POP.GROW,1.07758038117856
Switzerland,CHE,Population growth (annual %),SP.POP.GROW,0.708089212766107
Syrian Arab Republic,SYR,Population growth (annual %),SP.POP.GROW,0.964511740097553
Tajikistan,TJK,Population growth (annual %),SP.POP.GROW,2.39054628853621
Tanzania,TZA,Population growth (annual %),SP.POP.GROW,2.95168167328042
Thailand,THA,Population growth (annual %),SP.POP.GROW,0.283426556156345
Timor-Leste,TLS,Population growth (annual %),SP.POP.GROW,1.96383558319426
Togo,TGO,Population growth (annual %),SP.POP.GROW,2.42033520841497
Tonga,TON,Population growth (annual %),SP.POP.GROW,1.24898706310596
Trinidad and Tobago,TTO,Population growth (annual %),SP.POP.GROW,0.367347659660472
Tunisia,TUN,Population growth (annual %),SP.POP.GROW,1.11364374282179
Turkey,TUR,Population growth (annual %),SP.POP.GROW,1.33926035058318
Turkmenistan,TKM,Population growth (annual %),SP.POP.GROW,1.54638921755068
Turks and Caicos Islands,TCA,Population growth (annual %),SP.POP.GROW,1.38686044820971
Tuvalu,TUV,Population growth (annual %),SP.POP.GROW,1.19203277256267
Uganda,UGA,Population growth (annual %),SP.POP.GROW,3.55574052888872
Ukraine,UKR,Population growth (annual %),SP.POP.GROW,-0.533355282042411
United Arab Emirates,ARE,Population growth (annual %),SP.POP.GROW,1.43878044485973
United Kingdom,GBR,Population growth (annual %),SP.POP.GROW,0.561255390388033
United States,USA,Population growth (annual %),SP.POP.GROW,0.473953539373292
Upper middle income,UMC,Population growth (annual %),SP.POP.GROW,0.640342521843195
Uruguay,URY,Population growth (annual %),SP.POP.GROW,0.359859761032412
Uzbekistan,UZB,Population growth (annual %),SP.POP.GROW,1.87736354244626
Vanuatu,VUT,Population growth (annual %),SP.POP.GROW,2.43092019311926
"Venezuela, RB",VEN,Population growth (annual %),SP.POP.GROW,-1.23504114644487
Vietnam,VNM,Population growth (annual %),SP.POP.GROW,0.960110493934853
Virgin Islands (U.S.),VIR,Population growth (annual %),SP.POP.GROW,-0.323958187523532
West Bank and Gaza,PSE,Population growth (annual %),SP.POP.GROW,2.51178246264674
World,WLD,Population growth (annual %),SP.POP.GROW,1.07483912865109
"Yemen, Rep.",YEM,Population growth (annual %),SP.POP.GROW,2.30058011389449
Zambia,ZMB,Population growth (annual %),SP.POP.GROW,2.89237292696711
Zimbabwe,ZWE,Population growth (annual %),SP.POP.GROW,1.41968104561509
,,,,
,,,,
,,,,
Data from database: Population estimates and projections,,,,
Last Updated: 09/09/2020,,,,
